!
! This file has been converted from BPP_FlameMaster.trans
!
! For detailed information about the species properties and their
! sources, please refer to the original file.
!
! This file is provided for your convenience and has not been tested 
! fully. If you find any problem with this file, please contact one of
! the following authors 
! > Guillaume Blanquart : gblanqu@stanford.edu
! > Heinz Pitsch : 	 h.pitsch@stanford.edu
!

!SpecName      shape     eps/k     sigma     Dummy     Dummy     Zrot
N2                 1    97.530     3.621     0.000     0.000     4.000
H                  0   145.000     2.050     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     0.000     3.800
O                  0    80.000     2.750     0.000     0.000     0.000
OH                 1    80.000     2.750     0.000     0.000     0.000
H2                 1    38.000     2.920     0.000     0.000   280.000
H2O                2   572.400     2.605     0.000     0.000     4.000
CO2                1   244.000     3.763     0.000     0.000     2.100
HO2                2   107.400     3.458     0.000     0.000     1.000
H2O2               2   107.400     3.458     0.000     0.000     3.800
CO                 1    98.100     3.650     0.000     0.000     1.800
HCO                2   498.000     3.590     0.000     0.000     0.000
C                  0    71.400     3.298     0.000     0.000     0.000
CH                 1    80.000     2.750     0.000     0.000     0.000
T-CH2              1   144.000     3.800     0.000     0.000     0.000
CH3                1   144.000     3.800     0.000     0.000     0.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
HCCO               2   150.000     2.500     0.000     0.000     1.000
C2H                1   209.000     4.100     0.000     0.000     2.500
CH2CO              2   436.000     3.970     0.000     0.000     2.000
C2H2               1   209.000     4.100     0.000     0.000     2.500
P-CH2              1   144.000     3.800     0.000     0.000     0.000
AR                 0   136.500     3.330     0.000     0.000     0.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000
CH2OH              2   417.000     3.690     0.000     0.000     2.000
CH3O               2   417.000     3.690     0.000     0.000     2.000
CH4                2   141.400     3.746     0.000     0.000    13.000
CH3O2              2   481.800     3.626     0.000     0.000     1.000
C2H3               2   209.000     4.100     0.000     0.000     1.000
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H5               2   252.300     4.302     0.000     0.000     1.500
HCCOH              2   436.000     3.970     0.000     0.000     2.000
CH2CHO             2   436.000     3.970     0.000     0.000     2.000
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
H2C2               2   209.000     4.100     0.000     0.000     2.500
C2H5O              2   470.600     4.410     0.000     0.000     1.500
N-C3H7             2   266.800     4.982     0.000     0.000     1.000
C2H6               2   252.300     4.302     0.000     0.000     1.500
C3H8               2   266.800     4.982     0.000     0.000     1.000
C3H6               2   266.800     4.982     0.000     0.000     1.000
C3H3               2   252.000     4.760     0.000     0.000     1.000
P-C3H4             2   252.000     4.760     0.000     0.000     1.000
A-C3H4             2   252.000     4.760     0.000     0.000     1.000
S-C3H5             2   266.800     4.982     0.000     0.000     1.000
N-C4H3             2   357.000     5.180     0.000     0.000     1.000
C2H3CHO            2   428.800     4.958     0.000     0.000     1.000
A-C3H5             2   266.800     4.982     0.000     0.000     1.000
C2O                1   232.400     3.828     0.000     0.000     1.000
C4H4               2   357.000     5.180     0.000     0.000     1.000
C3H2               2   209.000     4.100     0.000     0.000     1.000
C3H2O              2   252.000     4.760     0.000     0.000     1.000
C4H2               1   357.000     5.180     0.000     0.000     1.000
I-C4H3             2   357.000     5.180     0.000     0.000     1.000
T-C3H5             2   266.800     4.982     0.000     0.000     1.000
C3H5O              2   411.000     4.820     0.000     0.000     1.000
C4H                1   357.000     5.180     0.000     0.000     1.000
C8H2               1   495.300     5.680     0.000     0.000     1.000
C6H2               1   357.000     5.180     0.000     0.000     1.000
P3-C4H6            2   357.000     5.180     0.000     0.000     1.000
N-C4H5             2   357.000     5.180     0.000     0.000     1.000
I-C4H5             2   357.000     5.180     0.000     0.000     1.000
A1-C6H6            2   464.800     5.290     0.000     0.000     1.000
N-C7H16            2   459.600     6.253     0.000     0.000     1.000
P-C5H11            2   440.735     5.041     0.000     0.000     0.000
P-C4H9             2   352.000     5.240     0.000     0.000     1.000
S-C7H15            2   459.600     6.253     0.000     0.000     1.000
P-C4H8             2   345.700     5.088     0.000     0.000     1.000
P-C5H10            2   386.200     5.489     0.000     0.000     1.000
T-C7H14            2   457.800     6.173     0.000     0.000     1.000
P-C7H15O           2   561.000     6.317     0.000     0.000     1.000
